userName,score,at,content
abam fahrie,1,2026-04-09 05:15:58,pas klik daftar pekerjaan eror job function required. pdhal usah isi semua. tlong klo bkin aplikasi jhn stgh2 ato cma coba2
Karintia Ant.,1,2026-04-08 15:28:43,"format no KTP salah padahal udh bner NIK-nya, sebelumnya juga belum pernah daftar. saya ke disduknya disuruh ke Disnaker tapi Disnaker ke Disduknya😭, Disnaker nya langsung gak bisa benerin, minta ak1 offline gk dikasih, gmna sih?! masa mau daftar kartu kuning ribet serba online tapi apk nya aj gak bisa ngasih solusi kalo ada kendala saat daftar. udah mah ngelamar blom tentu keterima , ini bikin persyaratan ada masalah bukannya ngasih solusi malah nambah pusing."
HEYHO RAIZO,1,2026-04-08 08:07:13,"Siapa sih yg bikin ni aplikasi, Ngebug mulu, Udah ku tambah Sertifikasi ku, ga bisa bisa , Ribet mintak ampun, mau bkin Kartu AK 1"
Seeker 1,1,2026-04-08 05:12:17,Ini apk kurang wirit untuk digunakan
Susanti santi,1,2026-04-08 02:36:56,"aplikasi sampah, harusnya bisa bikin ak 1 online ini ga bisa harus jauh jauh ke disnaker ini mah malah mempersulit!"
Heri Suhendar,1,2026-04-07 19:50:16,"ini kenapa ya pas saya mau melakukan klaim ga bisa, padahal misi sudah saya kerjakan tiba-tiba tidak bisa klaim"
Andreas Sinaga,5,2026-04-06 13:30:44,sangant berguna
Sarifatul Fatimah,1,2026-04-06 04:54:46,binggung cara pakainya
Amry Pujakesuma,1,2026-04-05 10:50:41,"apaan klaim ke 2 dst suruh lamar kerja terus, tp dilamar di aplikasi ga mau slesai2 misi"
rio pratama,1,2026-04-05 05:51:14,min kenapa klaim jkp saya tidak bisa ya padahal saya tidak terlambat
Hisyam Mubarok,1,2026-04-05 01:11:21,tiba tiba log out dari akun dan setiap saya mau login ulang banyak masalah
Esyaa Esyanti,1,2026-04-04 06:00:33,"kenapa aplikasinya susah diakses ya? mau klaim pencairan karirhub susah dibuka dan gak memunculkan lowongan pekerjaan, akhirnya jadi susah kita mau klaim dan jadinya gagal mulu. tolonglah jangan dipersulit.dan tolong diperbaiki aplikasinya"
